candidate_id,rank,score,reasoning
CAND_0018499,1,0.9967,"Senior Machine Learning Engineer at Zomato, 7.2 yrs total; covers 3/4 must-have areas via Embeddings, Pinecone, Information Retrieval; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; high verified assessment scores; based in Noida, Uttar Pradesh. Concerns: behavioral=0.73 [resp=0.56 dem=0.44 avail=1.00 close=0.78 trust=0.99]."
CAND_0081846,2,0.9720,"Lead AI Engineer at Razorpay, 6.7 yrs total; covers 3/4 must-have areas via Vector Search, Qdrant, BM25; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; open to relocating within India. Concerns: behavioral=0.83 [resp=0.73 dem=0.81 avail=0.93 close=0.74 trust=0.98]."
CAND_0071974,3,0.9586,"Senior AI Engineer at Netflix, 7.8 yrs total; covers 3/4 must-have areas via Qdrant, Embeddings, Elasticsearch; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Vizag, Andhra Pradesh, not relocating. Concerns: behavioral=0.82 [resp=0.76 dem=0.83 avail=0.93 close=0.69 trust=0.93]."
CAND_0041669,4,0.8891,"Recommendation Systems Engineer at CRED, 8.0 yrs total; covers 3/4 must-have areas via Information Retrieval, MLflow, Weaviate; some eval-framework language in profile; based in Noida, Uttar Pradesh. Concerns: behavioral=0.79 [resp=0.89 dem=0.59 avail=0.91 close=0.88 trust=0.64]."
CAND_0095619,5,0.8864,"NLP Engineer at Nykaa, 15.6 yrs total (4.2 yrs ML-relevant); covers 4/4 must-have areas via MLflow, Weaviate, Pinecone; based in Mumbai, Maharashtra. Concerns: behavioral=0.90 [resp=0.96 dem=0.83 avail=0.93 close=0.80 trust=0.96]."
CAND_0011687,6,0.8787,"Senior NLP Engineer at Niramai, 7.8 yrs total; covers 2/4 must-have areas via Weaviate, OpenSearch, Embeddings; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Indore, Madhya Pradesh, not relocating. Concerns: behavioral=0.82 [resp=0.95 dem=0.63 avail=1.00 close=0.69 trust=0.81]."
CAND_0037980,7,0.8686,"Senior Applied Scientist at Niramai, 9.0 yrs total; covers 3/4 must-have areas via Information Retrieval Systems, BM25, Recommendation Systems; some eval-framework language in profile; open to relocating within India. Concerns: behavioral=0.77 [resp=0.63 dem=0.91 avail=0.76 close=0.86 trust=0.68]."
CAND_0027691,8,0.8439,"NLP Engineer at Haptik, 6.5 yrs total; covers 4/4 must-have areas via Weaviate, Semantic Search, Learning to Rank; some eval-framework language in profile; based in Pune, Maharashtra. Concerns: behavioral=0.63 [resp=0.68 dem=0.31 avail=0.64 close=0.63 trust=0.98]."
CAND_0010685,9,0.8426,"NLP Engineer at Rephrase.ai, 6.7 yrs total; covers 3/4 must-have areas via RAG, Information Retrieval, Elasticsearch; some eval-framework language in profile; in Kolkata, West Bengal, not relocating. Concerns: behavioral=0.77 [resp=0.76 dem=0.87 avail=0.82 close=0.71 trust=0.69]."
CAND_0046064,10,0.8342,"Senior NLP Engineer at Salesforce, 8.9 yrs total; covers 2/4 must-have areas via Pinecone, Elasticsearch, BM25; explicit eval-framework evidence (NDCG/MRR/A-B test) in profile; in Coimbatore, Tamil Nadu, not relocating. Concerns: behavioral=0.75 [resp=0.78 dem=0.69 avail=0.79 close=0.67 trust=0.86]."
